Model,Partno,Specs,Manufacturer,ProductType,Category,CustomerPrice
Lenovo ThinkPad UltraSlim USB DVD Burner,4XA0E97775,,Lenovo,,System Accessories,48
Lenovo ThinkPad X1 Carbon 5th Gen Notebook - Windows 10,20HQS5PB00,"Intel Core i5-7300U Processor (3MB Cache, Up to 3.50 GHz) 
8GB LPDDR3 1866 
256 GB Solid State Drive PCIe-NVMe OPAL2.0 - Capable 
14.0"" FHD (1920x1080) IPS Anti-Glare Non-Touch 
Intel HD Graphics 620 
720p HD Resolution Camera 
Intel Dual Band Wireless AC(2x2) 8265, Bluetooth Version 4.1 
Integrated Fingerprint Reader 
2x USB 3.1 Gen 1 (USB 3.0, one Always On), 2x USB 3.1 Type-C 
Gen 2 / Thunderbolt 3 (support data, video, and power delivery), 
HDMI 1.4b, Ethernet Extension Connector (requires optional 
Ethernet Extension Cable, not included) 
MicroSD Card Reader 
ThinkPad Backlit Keyboard Euro English or Country Specific 
with Fingerprint Reader and C-cover, Black 
Windows 10 Pro 64 
3 Cell Battery 57Wh, 45 Watt AC Adapter 
3 Year Global Warranty",Lenovo,,Systems,1535
Lenovo ThinkPad T470s Touch Screen Notebook - Windows 10,20HGS6LB00,"Intel Core i5-7300U Processor (3MB Cache, 3.50 GHz)
12GB DDR4-2133 4GB Onboard +8GB (1 SoDIMM)
256 GB Solid State Drive PCIe-NVMe OPAL2.0 Capable
14.0"" FHD (1920x1080) IPS Touchscreen Display
Intel HD Graphics 620
720p HD Resolution Camera
Hardware dTPM2.0 Enabled Security
Intel 8265AC+BT 2x2
Gigabit Ethernet
Fingerprint Reader
3x USB 3.1 Gen 1, 1x USB 3.1 Type-C, Thunderbolt 3 
(Support Data, Video, and Power Delivery)
HDMI 1.4b, Ethernet RJ45, Dock Connector
4-in-1 Card Reader
ThinkPad Backlit Keyboard English 
UltraNav TrackPoint, Touchpad 
Windows 10 Pro 64 
3 Cell Li-Ion Battery Front, 3 Cell Li-Ion Battery Rear
45 Watt AC Adapter USB Type C
3 Year Global Warranty",Lenovo,,Systems,1475
Lenovo ThinkCentre M600 Tiny Desktop - Windows 10,10G8S0EU00,"Intel Pentium Braswell J3710 (4 Core, 2.64 GHz, 2MB)
8GB DDR3 1600MHz SoDIMM
500GB Hard Drive, 7200rpm 2.5"" SATA, Opal Capable
Integrated HD Graphics, Integrated Gigabit Ethernet
Intel 8260 AC(2x2)+BT4.1 Wireless Tiny
Internal Speaker Tiny, Vertical Stand Tiny
USB Fullsize Keyboard Black - English or Country Specific
USB Optical Mouse Black
Front:  2x USB 3.0, 1x Mic, 1x Headphone/Mic Jack
Rear: 2x USB 2.0, 2x USB 3.0, RJ45, 2x DP, 1x Headset
Windows 10 Pro 64
3 Year Global Warranty",Lenovo,,Systems,555
HP EliteBook 820 G4 Notebook - Windows 10,28923814,"Intel Dual-Core i5-7300U (2.6GHz, 3.5GHz Turbo, 3MB Cache)  
8GB (1X8GB) DDR4 2133  
500GB 7200RPM SATA-3  
Intel 8265 ac 2x2 +BT 4.2 WW 2Ant  
Intel l219-LM 10/100/1000 Ethernet  
12.5"" FHD (1920 x 1080) UWVA Anti-Glare LED Backlit Non-Touch Display  
Integrated HD 720p Webcam, Microphone, Speakers  
Integrated Intel HD 620 Graphics  
No Fingerprint Reader, No NFC, No WWAN  
Internal Dual-Pointing Backlit Keyboard, English or  
Country Specific, Touchpad  
2x USB 3.1 Gen 1 (1x Charging), 1x USB Type-C, 1x RJ45, 1x VGA,  
1x DisplayPort, 1x Headphone / Microphone Combo Port  
1x Docking Connector, 1x AC Power Port  
45W Smart nPFC AC Adapter  
3-Cell 49WHr Long Life Lithium-Ion Battery  
3 Years Global Warranty  
Windows 10 Pro, 64-Bit",HPI,,Systems,1020
HP EliteBook 840 G4 Notebook - Windows 10,28923817,"Intel Dual-Core i5-7200U (2.5GHz, 3.1GHz Turbo, 3MB Cache)  
8GB (1X8GB) DDR4 2133  
500GB 7200RPM SATA-3  
Intel 8265 ac 2x2 +BT 4.2 2Ant  
Intel l219-LM 10/100/1000 Ethernet  
14"" FHD (1920 x 1080) SVA Anti-Glare LED Backlit Non-Touch Display  
Integrated HD 720p Webcam, Microphone, Speakers  
Integrated Intel HD 620 Graphics  
Fingerprint Reader  
No NFC, No WWAN  
Internal Dual-Pointing Backlit Keyboard, English or  
Country Specific, Touchpad  
2x USB 3.1 Gen 1 (1x Charging), 1x USB Type-C, 1x RJ45, 1x VGA,  
1x DisplayPort, 1x Headphone / Microphone Combo Port  
1x Docking Connector, 1x AC Power Port  
45W Smart nPFC AC Adapter  
3-Cell 51WHr Long Life Lithium-Ion Battery  
3 Years Global Warranty  
Windows 10 Pro, 64-Bit",HPI,,Systems,870
HP EliteBook 820 G3 Notebook - Windows 7 for UK Only,28923815,"Intel Dual-Core i5-6200U (2.3GHz, 2.8GHz Turbo, 3MB Cache)  
8GB (2X4GB) DDR4 2133  
500GB 5400RPM Hybrid  
Intel 8260 ac 2x2 +BT 4.2 LE  
Intel l219-V 10/100/1000 Ethernet  
12.5"" FHD (1920 x 1080) UWVA Anti-Glare LED Backlit Non-Touch Display  
Integrated HD 720p Webcam, Microphone, Speakers  
Integrated Intel HD 520 Graphics  
Fingerprint Reader  
No NFC, No WWAN  
Internal Dual-Pointing Backlit Keyboard, English or  
Country Specific, Touchpad  
1x USB 3.0, 1x USB 3.0 Charging, 1x USB Type-C,  
1x DisplayPort, 1x VGA, 1x Headphone/mic, 1x AC Power,  
1x RJ45, 1x Docking Connector  
45W Smart nPFC AC Adapter  
3-Cell 44WHr Long Life Lithium-Ion Battery  
3 Years Global Warranty  
Windows 7 Pro, 64-Bit",HPI,,Systems,885
HP EliteBook 840 G3 Notebook - Windows 7 for UK Only,28923816,"Intel Dual-Core i5-6200U (2.3GHz, 2.8GHz Turbo, 3MB Cache) 
8GB (1X8GB) DDR4 2133 
500GB 7200RPM SATA-3 
Intel 8260 ac 2x2 +BT 4.2 LE MOW 
Intel l219-LM 10/100/1000 Ethernet 
14"" FHD (1920 x 1080) SVA Anti-Glare LED Backlit Non-Touch Display 
Integrated HD 720p Webcam, Microphone, Speakers 
Integrated Intel HD 520 Graphics 
Fingerprint Reader 
No NFC, No WWAN 
Internal Dual-Pointing Backlit Keyboard, English or 
Country Specific, Touchpad  
1x USB 3.0, 1x USB 3.0 Charging, 1x USB Type-C, 1x DisplayPort,  
1x VGA, 1x Headphone/Mic, 1x AC Power, 1x RJ45,  
1x Docking Connector 
45W Smart nPFC AC Adapter 
3-Cell 46WHr Long Life Lithium-Ion Battery 
3 Years Global Warranty 
Windows 7 Pro, 64-Bit",HPI,,Systems,850
Microsoft Windows 10 Pro 64-Bit Upgrade with 2 Years SA,MICSOFWIN10PROUPGSA,,Microsoft,Software,Software,110
Microsoft Windows 10 Pro 64-Bit Full Retail License,FQC-09131,,Microsoft,Software,Software,187
Microsoft Windows 10 Pro 64-Bit Full OEM License,MICSOFWIN10PROOEM,,Microsoft,Software,Software,155
Adobe Creative Cloud Suite CC Prorated License,ADOSOFCCPRORATEDLIC,"Subscription to Full Suite of Adobe Products, Multi-Lingual 

Price shown is the prorated price for an additional license valid from today until contract renewal date 

Requires Individual User Name and Email",Adobe,Software,Software,97
Adobe Acrobat Pro V17 Standalone Perpetual License,ADOSOFACROBATPRO,,Adobe,Software,Software,162
Microsoft Office Pro Plus 2016 with 2 Years SA,269-05640,,Microsoft,Software,Software,120
Microsoft Project Pro 2016 with 2 Years SA,MICSOFPROJECTPRO2016,,Microsoft,Software,Software,222
Microsoft Visio Pro 2016 with 2 Years SA,MICSOFVISIOPRO2016SA,,Microsoft,Software,Software,115
Microsoft Windows Server Standard 2016 with 2 Years SA,MICSOFWINSERVERSTD20,"8x 2-Core License (Total 16-Cores), 
Minimum Required per Server
",Microsoft,Software,Software,332
Microsoft Windows Server Standard 2016 CAL with 2 Years SA,MICSOFWINSERVERSTD20,,Microsoft,Software,Software,11
Tableau Desktop Pro License,TAB-PROF-SUB,"12-Month Subscription
",Other,Software,Software,340
